ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,07/07/1992,04/02/2013,02722984,Arundel Group Limited,15/06/1992,,64209,Financial and insurance activities,Activities of other holding companies n.e.c.
Right,Adam Smith Institute,01/01/1977,urTgGEDoK27IEQZMh_cG3qJyuSw,Sir Robert Anthony Clark,Director,16/07/1997,03/01/2013,01968010,Godalming Museum Trust,03/12/1985,,91020,"Arts, entertainment and recreation",Museums activities
Right,Adam Smith Institute,01/01/1977,w_VyPU6q8q45cQpP7o2bbDxI8Vo,Thomas William Clougherty,Director,09/06/2009,01/05/2012,01553005,A.S.I. (Research) Limited,26/03/1981,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,03/02/2014,03/10/2014,04047630,G4s Risk Consulting Limited,01/08/2000,,80100,Administrative and support service activities,Private security activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,03/02/2014,02/10/2014,05128617,G4s Secure Solutions (Iraq) Limited,14/05/2004,,80100,Administrative and support service activities,Private security activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,03/02/2014,02/10/2014,05128617,G4s Secure Solutions (Iraq) Limited,14/05/2004,,80200,Administrative and support service activities,Security systems service activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,03/02/2014,02/10/2014,05128617,G4s Secure Solutions (Iraq) Limited,14/05/2004,,80300,Administrative and support service activities,Investigation activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,03/02/2014,02/10/2014,01540857,G4s Risk Management Limited,23/01/1981,,80100,Administrative and support service activities,Private security activities
Right,Adam Smith Institute,01/01/1977,VH1_-kT_MN4OKAFhGuwu2IRdX7U,Timothy Holman Mitchell,Director,03/02/2014,02/10/2014,01540857,G4s Risk Management Limited,23/01/1981,,80300,Administrative and support service activities,Investigation activities
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,16/12/2011,,01764377,Trireme Trust(the),25/10/1983,24/04/2018,85520,Education,Cultural education
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,28/02/2006,02/05/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,09/03/2012,02/05/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,mt6ktIl3dENSdNcNd7enCVUwdSs,William Sinclair Morrison,Director,23/12/2005,02/05/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,07/12/2005,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,23/12/2005,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,06/03/2012,31/03/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,17/07/1992,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,07/12/2005,31/03/2017,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Secretary,19/01/2009,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,23/12/2005,31/03/2017,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,vWzl_afCxEtrh1JBNYv6_4IWx6w,Peter Young,Director,06/03/2012,31/03/2017,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,BztgUO0ogXCysWa6F87zwEWFt1k,Riaan Anthonie Bloem,Director,06/09/2010,14/09/2012,05662199,The Amphion Group Limited,23/12/2005,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,BztgUO0ogXCysWa6F87zwEWFt1k,Riaan Anthonie Bloem,Director,06/09/2010,14/09/2012,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
Right,Adam Smith Institute,01/01/1977,BztgUO0ogXCysWa6F87zwEWFt1k,Riaan Anthonie Bloem,Director,06/09/2010,14/09/2012,05648068,Adam Smith Services Limited,07/12/2005,25/02/2020,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,BztgUO0ogXCysWa6F87zwEWFt1k,Riaan Anthonie Bloem,Director,09/03/2012,14/09/2012,07976084,Aquileia Limited,05/03/2012,,82990,Administrative and support service activities,Other business support service activities n.e.c.
Right,Adam Smith Institute,01/01/1977,25a5g-v8cMD6Hpts6xG9uFayc6Y,Dr Layth Bunni,Director,06/09/2010,31/03/2017,02732176,Adam Smith International Ltd,17/07/1992,,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management
