PoliticalWing,SicCodeCategory,Count
Left,"Professional, scientific and technical activities",138
Left,Education,72
Left,Information and communication,50
Left,"Arts, entertainment and recreation",47
Left,Other service activities,38
Left,Human health and social work activities,26
Left,Administrative and support service activities,25
Left,Financial and insurance activities,24
Left,Accommodation and food service activities,16
Left,Activities of extraterritorial organisations and bodies,15
Left,"Electricity, gas, steam and air conditioning supply",8
Left,Transportation and storage,7
Left,Real estate activities,6
Left,Wholesale and retail trade; repair of motor vehicles and motorcycles,6
Left,Manufacturing,6
Left,Construction,6
Left,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,4
Left,"Agriculture, Forestry and Fishing",4
Left,"Water supply, sewerage, waste management and remediation activities",1
Right,"Professional, scientific and technical activities",141
Right,Financial and insurance activities,86
Right,Education,53
Right,Administrative and support service activities,53
Right,Information and communication,47
Right,Real estate activities,44
Right,Human health and social work activities,25
Right,"Arts, entertainment and recreation",24
Right,Accommodation and food service activities,21
Right,Construction,20
Right,Other service activities,19
Right,Activities of extraterritorial organisations and bodies,10
Right,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,9
Right,Wholesale and retail trade; repair of motor vehicles and motorcycles,5
Right,Mining and Quarrying,4
Right,Transportation and storage,3
Right,Manufacturing,2
Right,"Agriculture, Forestry and Fishing",1
Right,"Electricity, gas, steam and air conditioning supply",1
Right,Public administration and defence; compulsory social security,1
