PoliticalWing,SicCode,SicCodeCategory,SicCodeDescription,Count
Left,85590,Education,Other education n.e.c.,67
Left,74990,"Professional, scientific and technical activities",Non-trading company non trading,62
Left,72200,"Professional, scientific and technical activities",Research and experimental development on social sciences and humanities,33
Left,82990,Administrative and support service activities,Other business support service activities n.e.c.,31
Left,70100,"Professional, scientific and technical activities",Activities of head offices,23
Left,58110,Information and communication,Book publishing,19
Left,74909,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",14
Left,90030,"Arts, entertainment and recreation",Artistic creation,14
Left,96090,Other service activities,Other service activities n.e.c.,12
Left,85320,Education,Technical and vocational secondary education,11
Left,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,11
Left,90040,"Arts, entertainment and recreation",Operation of arts facilities,11
Left,99999,Activities of extraterritorial organisations and bodies,Dormant Company,11
Left,88990,Human health and social work activities,Other social work activities without accommodation n.e.c.,11
Left,85310,Education,General secondary education,10
Left,85520,Education,Cultural education,9
Left,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,9
Left,85421,Education,First-degree level higher education,8
Left,91030,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,8
Left,94920,Other service activities,Activities of political organisations,7
Left,94990,Other service activities,Activities of other membership organisations n.e.c.,7
Left,85422,Education,Post-graduate level higher education,6
Left,56210,Accommodation and food service activities,Event catering activities,6
Left,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,6
Left,85600,Education,Educational support services,6
Left,51101,Transportation and storage,Scheduled passenger air transport,6
Left,86900,Human health and social work activities,Other human health activities,5
Left,85410,Education,Post-secondary non-tertiary education,4
Left,68209,Real estate activities,Other letting and operating of own or leased real estate,4
Left,90020,"Arts, entertainment and recreation",Support activities to performing arts,4
Left,94110,Other service activities,Activities of business and employers membership organisations,4
Left,85200,Education,Primary education,4
Left,63990,Information and communication,Other information service activities n.e.c.,4
Left,59132,Information and communication,Video distribution activities,4
Left,59113,Information and communication,Television programme production activities,4
Left,35140,"Electricity, gas, steam and air conditioning supply",Trade of electricity,4
Left,35230,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains,4
Left,55900,Accommodation and food service activities,Other accommodation,4
Left,65300,Financial and insurance activities,Pension funding,4
Left,64921,Financial and insurance activities,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,4
Left,56302,Accommodation and food service activities,Public houses and bars,3
Left,93110,"Arts, entertainment and recreation",Operation of sports facilities,3
Left,86101,Human health and social work activities,Hospital activities,3
Left,56101,Accommodation and food service activities,Licenced restaurants,3
Left,90010,"Arts, entertainment and recreation",Performing arts,3
Left,41100,Construction,Development of building projects,3
Left,70221,"Professional, scientific and technical activities",Financial management,3
Left,81300,Administrative and support service activities,Landscape service activities,3
Left,94120,Other service activities,Activities of professional membership organisations,3
Left,72190,"Professional, scientific and technical activities",Other research and experimental development on natural sciences and engineering,3
Left,91012,"Arts, entertainment and recreation",Archives activities,3
Left,93199,"Arts, entertainment and recreation",Other sports activities,3
Left,73110,"Professional, scientific and technical activities",Advertising agencies,2
Left,93120,"Arts, entertainment and recreation",Activities of sport clubs,2
Left,32990,Manufacturing,Other manufacturing n.e.c.,2
Left,85510,Education,Sports and recreation education,2
Left,62020,Information and communication,Information technology consultancy activities,2
Left,93290,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,2
Left,91020,"Arts, entertainment and recreation",Museums activities,2
Left,47781,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in commercial art galleries,2
Left,35110,"Electricity, gas, steam and air conditioning supply",Production of electricity,2
Left,35130,"Electricity, gas, steam and air conditioning supply",Distribution of electricity,2
Left,35210,"Electricity, gas, steam and air conditioning supply",Manufacture of gas,2
Left,35220,"Electricity, gas, steam and air conditioning supply",Distribution of gaseous fuels through mains,2
Left,61900,Information and communication,Other telecommunications activities,2
Left,59131,Information and communication,Motion picture distribution activities,2
Left,59111,Information and communication,Motion picture production activities,2
Left,87200,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",2
Left,64303,Financial and insurance activities,Activities of venture and development capital companies,2
Left,91011,"Arts, entertainment and recreation",Library activities,2
Left,58141,Information and communication,Publishing of learned journals,2
Left,47610,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of books in specialised stores,2
Left,58190,Information and communication,Other publishing activities,2
Left,58290,Information and communication,Other software publishing,2
Left,62012,Information and communication,Business and domestic software development,2
Left,47789,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other retail sale of new goods in specialised stores (not commercial art galleries and opticians),1
Left,47820,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale via stalls and markets of textiles, clothing and footwear",1
Left,47910,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via mail order houses or via Internet,1
Left,58142,Information and communication,Publishing of consumer and business journals and periodicals,1
Left,11050,Manufacturing,Manufacture of beer,1
Left,10710,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,1
Left,47210,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of fruit and vegetables in specialised stores,1
Left,03120,"Agriculture, Forestry and Fishing",Freshwater fishing,1
Left,63110,Information and communication,"Data processing, hosting and related activities",1
Left,62011,Information and communication,Ready-made interactive leisure and entertainment software development,1
Left,87300,Human health and social work activities,Residential care activities for the elderly and disabled,1
Left,36000,"Water supply, sewerage, waste management and remediation activities","Water collection, treatment and supply",1
Left,01500,"Agriculture, Forestry and Fishing",Mixed farming,1
Left,73120,"Professional, scientific and technical activities",Media representation services,1
Left,59112,Information and communication,Video production activities,1
Left,84230,Public administration and defence; compulsory social security,Justice and judicial activities,1
Left,66120,Financial and insurance activities,Security and commodity contracts dealing activities,1
Left,01610,"Agriculture, Forestry and Fishing",Support activities for crop production,1
Left,01629,"Agriculture, Forestry and Fishing",Support activities for animal production (other than farm animal boarding and care) n.e.c.,1
Left,71121,"Professional, scientific and technical activities",Engineering design activities for industrial process and production,1
Left,71129,"Professional, scientific and technical activities",Other engineering activities,1
Left,74901,"Professional, scientific and technical activities",Environmental consulting activities,1
Left,66110,Financial and insurance activities,Administration of financial markets,1
Left,64205,Financial and insurance activities,Activities of financial services holding companies,1
Left,64191,Financial and insurance activities,Banks,1
Left,80100,Administrative and support service activities,Private security activities,1
Left,63120,Information and communication,Web portals,1
Left,47750,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cosmetic and toilet articles in specialised stores,1
Left,66290,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,1
Left,68201,Real estate activities,Renting and operating of Housing Association real estate,1
Left,47990,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Other retail sale not in stores, stalls or markets",1
Left,68320,Real estate activities,Management of real estate on a fee or contract basis,1
Left,68100,Real estate activities,Buying and selling of own real estate,1
Left,86220,Human health and social work activities,Specialists medical practice activities,1
Right,82990,Administrative and support service activities,Other business support service activities n.e.c.,156
Right,70100,"Professional, scientific and technical activities",Activities of head offices,61
Right,70229,"Professional, scientific and technical activities",Management consultancy activities other than financial management,59
Right,74990,"Professional, scientific and technical activities",Non-trading company non trading,53
Right,68209,Real estate activities,Other letting and operating of own or leased real estate,35
Right,85590,Education,Other education n.e.c.,28
Right,68100,Real estate activities,Buying and selling of own real estate,23
Right,41100,Construction,Development of building projects,22
Right,99999,Activities of extraterritorial organisations and bodies,Dormant Company,18
Right,58110,Information and communication,Book publishing,17
Right,64209,Financial and insurance activities,Activities of other holding companies n.e.c.,16
Right,58141,Information and communication,Publishing of learned journals,16
Right,98000,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Residents property management,15
Right,66300,Financial and insurance activities,Fund management activities,15
Right,55100,Accommodation and food service activities,Hotels and similar accommodation,15
