ThinkTankId,ThinkTankPoliticalWing,ThinkTankName,ThinkTankFoundedOn,OfficerId,OfficerName,OfficerRole,OfficerAppointedOn,OfficerResignedOn,CompanyNumber,CompanyName,CompanyType,CompanyDateOfCreation,CompanyDateOfCessation,CompanySicCode,CompanySicCodeCategory,CompanySicCodeDescription
EU-1682,Right,Centre for Policy Studies,01/01/1974,8khcR0KhX7owXGjlO_7MAjFWrA0,the Hon Sir Rocco Giovanni Forte,Director,08/08/1996,,03221756,Sir Rocco Forte Limited,Ltd,08/07/1996,,01110,"Agriculture, Forestry and Fishing","Growing of cereals (except rice), leguminous crops and oil seeds"
EU-1496,Right,Institute of Economic Affairs,01/01/1955,1RId3QnIkYevLgvIQGgoneOm5G0,Geoffrey Edward Wood,Director,08/01/2018,26/03/2019,10379325,Vertical Future Limited,Ltd,16/09/2016,,01130,"Agriculture, Forestry and Fishing","Growing of vegetables and melons, roots and tubers"
EU-1875,Right,Legatum Institute,05/11/2010,E4wn17YN80fcW0bPAcDKjUKB5Mg,Toby Oliver James Baxendale,Director,16/07/2013,31/07/2018,08612247,The Villa Nursery Limited,Ltd,16/07/2013,,01130,"Agriculture, Forestry and Fishing","Growing of vegetables and melons, roots and tubers"
EU-1682,Right,Centre for Policy Studies,01/01/1974,FFpt8gMvp2qw27hoIbuj-JK0IXA,Lord Spencer of Alresford Michael Alan Spencer,Director,25/04/2016,,09519684,Ipgl No.13 Ltd,Ltd,31/03/2015,10/11/2020,01430,"Agriculture, Forestry and Fishing",Raising of horses and other equines
EU-1217,Right,Policy Exchange,01/01/2002,SDQnjy2-pzDKJZPhXcLduCDg7Xc,Timothy Michael Steel,Director,06/09/2021,,13604148,Ileden Shoot Limited,Ltd,06/09/2021,,01450,"Agriculture, Forestry and Fishing",Raising of sheep and goats
EU-1414,Left,Demos,01/01/1993,y2kkCC3HNP3393upK8WKZmfwHdc,Alan Parker,Director,20/03/2012,,07998330,Fir Farm Holdings Limited,Ltd,20/03/2012,,01500,"Agriculture, Forestry and Fishing",Mixed farming
EU-1488,Left,Institute for Public Policy Research,01/01/1986,0NPAzZeYsiepcJhMLm3jsfADudc,Barbara Baroness Young of Old Scone,Director,22/04/1992,23/05/1998,02693778,Rspb Sales Limited,Ltd,04/03/1992,,01500,"Agriculture, Forestry and Fishing",Mixed farming
EU-1488,Left,Institute for Public Policy Research,01/01/1986,cvoS_I4sbWoUxZ5hdrEBdfLIX-8,Donald Macinnes Peck,Director,08/06/1994,,02936866,Foundation Rachel and Pamela Schiele,PrivateLimitedGuarantNscLimitedExemption,08/06/1994,,01500,"Agriculture, Forestry and Fishing",Mixed farming
EU-1414,Left,Demos,01/01/1993,NaFNMlssEDo3tdnZo77zHwAu6e8,George Robin Paget Ferguson,Director,17/07/2023,,15006031,Five Acre Farm Cic,PrivateLimitedGuarantNsc,17/07/2023,,01500,"Agriculture, Forestry and Fishing",Mixed farming
EU-1682,Right,Centre for Policy Studies,01/01/1974,296Yt1zhuoRIaU-ZifngSkupppQ,Graham Henry Edwards,Director,11/09/2015,08/03/2023,00464095,British Field Products Limited,Ltd,29/01/1949,20/06/2023,01500,"Agriculture, Forestry and Fishing",Mixed farming
EU-1217,Right,Policy Exchange,01/01/2002,ccMYThDIOWjAZl6RCq_jtc-knWY,Lord Theodore Thomas More Agnew,Director,24/02/2015,24/10/2017,09454582,Winterton Farming Limited,Ltd,24/02/2015,,01500,"Agriculture, Forestry and Fishing",Mixed farming
EU-1488,Left,Institute for Public Policy Research,01/01/1986,cvoS_I4sbWoUxZ5hdrEBdfLIX-8,Donald Macinnes Peck,Director,01/10/2017,,01513190,Progressive Farming Trust Limited,PrivateLimitedGuarantNsc,19/08/1980,,01610,"Agriculture, Forestry and Fishing",Support activities for crop production
EU-1488,Left,Institute for Public Policy Research,01/01/1986,LZUKO9CyXI6v9G5iiveqp6WyuoI,James Peter Cornford,Director,20/09/1997,12/10/2005,01513190,Progressive Farming Trust Limited,PrivateLimitedGuarantNsc,19/08/1980,,01610,"Agriculture, Forestry and Fishing",Support activities for crop production
EU-1488,Left,Institute for Public Policy Research,01/01/1986,cvoS_I4sbWoUxZ5hdrEBdfLIX-8,Donald Macinnes Peck,Director,01/10/2017,,01513190,Progressive Farming Trust Limited,PrivateLimitedGuarantNsc,19/08/1980,,01629,"Agriculture, Forestry and Fishing",Support activities for animal production (other than farm animal boarding and care) n.e.c.
EU-1488,Left,Institute for Public Policy Research,01/01/1986,LZUKO9CyXI6v9G5iiveqp6WyuoI,James Peter Cornford,Director,20/09/1997,12/10/2005,01513190,Progressive Farming Trust Limited,PrivateLimitedGuarantNsc,19/08/1980,,01629,"Agriculture, Forestry and Fishing",Support activities for animal production (other than farm animal boarding and care) n.e.c.
